id,newperiod,score,correct,Hispanic,Black,Asian,Other race,Fall,Online,GPA,SAT verbal,SAT math,Female,Age,Parttime,Native Language English?,Sophomore or below,avgcor
1036,Pre-Covid,27.500000000000004,0,0,0,1,0,1,0,3.5999999046325684,NA,NA,1,19,0,NA,1,0.30434782608695654
1073,Pre-Covid,40,0,0,0,1,0,1,0,NA,NA,NA,1,28,0,1,1,0.34782608695652173
1107,Pre-Covid,72.5,1,0,0,1,0,1,0,3.859999895095825,NA,NA,0,27,0,NA,1,0.9130434782608695
1589,Pre-Covid,80,1,0,0,1,0,1,0,NA,590,660,1,19,0,NA,1,0.9565217391304348
1697,Pre-Covid,47.5,0,0,0,1,0,1,0,NA,480,630,0,19,0,0,1,0.4347826086956522
1746,Pre-Covid,42.5,1,0,0,1,0,1,0,3.490000009536743,370,610,0,22,0,0,1,0.7391304347826086
1800,Pre-Covid,60,1,0,0,1,0,1,0,NA,520,680,0,20,0,NA,1,0.6956521739130435
604,Pre-Covid,30,0,0,0,1,0,1,0,3.5,590,650,1,19,0,NA,1,0.2608695652173913
1436,Pre-Covid,40,1,0,0,1,0,1,0,NA,500,520,1,19,0,0,1,0.4347826086956522
1452,Pre-Covid,82.5,1,0,0,1,0,1,0,NA,590,700,0,19,0,1,1,1
1494,Pre-Covid,70,1,0,0,1,0,1,0,NA,610,680,0,19,0,1,1,0.7391304347826086
1566,Pre-Covid,72.5,1,0,0,1,0,1,0,NA,570,690,0,19,0,1,1,1
2367,Pre-Covid,75,1,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,1
2397,Pre-Covid,65,1,0,0,1,0,1,0,NA,NA,NA,0,18,0,NA,1,0.9565217391304348
2402,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,NA,NA,NA,1,19,0,NA,1,0.6086956521739131
2488,Pre-Covid,72.5,1,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,1
2829,Pre-Covid,77.5,1,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,0.9565217391304348
2929,Pre-Covid,80,1,0,0,1,0,1,0,NA,NA,NA,0,18,0,NA,1,0.9130434782608695
29,Pre-Covid,37.5,0,0,0,1,0,1,0,3.059999942779541,NA,NA,1,37,0,0,0,0.30434782608695654
119,Pre-Covid,30,0,0,0,1,0,1,0,1.6200000047683716,520,620,0,23,1,1,0,0.4482758620689655
119,Pre-Covid,35,0,0,0,1,0,1,0,1.6200000047683716,520,620,0,23,1,1,0,0.4482758620689655
166,Pre-Covid,70,1,0,0,1,0,1,0,NA,520,750,0,24,0,1,1,0.9565217391304348
274,Pre-Covid,32.5,1,0,0,1,0,1,0,3.180000066757202,240,500,1,22,0,1,0,0.5217391304347826
456,Pre-Covid,75,1,0,0,1,0,1,0,3.0799999237060547,410,650,1,21,0,0,1,0.9130434782608695
636,Pre-Covid,37.5,1,0,0,1,0,1,0,NA,480,630,0,19,0,NA,1,0.4782608695652174
667,Pre-Covid,50,0,0,0,1,0,1,0,NA,NA,NA,1,19,0,0,1,0.4347826086956522
737,Pre-Covid,27.500000000000004,0,0,0,1,0,1,0,NA,NA,NA,0,25,0,1,1,0.391304347826087
885,Pre-Covid,62.5,0,0,0,1,0,1,0,NA,550,650,0,19,0,1,1,0.4782608695652174
955,Pre-Covid,50,1,0,0,1,0,1,0,NA,550,500,0,24,1,NA,1,0.8695652173913043
1323,Pre-Covid,32.5,0,0,0,1,0,1,0,NA,610,630,1,19,0,1,1,0.34782608695652173
1460,Pre-Covid,62.5,0,0,0,1,0,1,0,NA,550,700,1,19,0,0,1,0.6086956521739131
1583,Pre-Covid,65,1,0,0,1,0,1,0,NA,660,670,0,19,0,NA,1,0.7391304347826086
1610,Pre-Covid,50,0,0,0,1,0,1,0,NA,590,670,0,21,0,0,1,0.4347826086956522
1708,Pre-Covid,50,1,0,0,1,0,1,0,NA,570,650,0,20,0,0,1,0.7391304347826088
924,Pre-Covid,67.5,1,0,1,0,0,1,0,3,530,530,0,19,0,NA,1,0.9130434782608695
434,Pre-Covid,40,0,0,1,0,0,1,0,NA,600,570,1,21,0,1,1,0.391304347826087
839,Pre-Covid,50,0,0,1,0,0,1,0,3.759999990463257,540,620,1,20,0,1,1,0.5217391304347826
1459,Pre-Covid,67.5,1,0,1,0,0,1,0,NA,550,640,0,19,0,1,1,0.8695652173913043
1463,Pre-Covid,50,1,0,1,0,0,1,0,NA,590,570,0,19,0,1,1,0.6521739130434783
260,Pre-Covid,20,1,0,1,0,0,1,0,3.700000047683716,290,490,1,21,0,NA,0,0.39130434782608703
475,Pre-Covid,42.5,1,0,1,0,0,1,0,1.8600000143051147,400,380,1,21,1,1,0,0.5652173913043478
1576,Pre-Covid,42.5,0,0,1,0,0,1,0,NA,520,520,1,19,0,1,1,0.4347826086956522
1829,Pre-Covid,37.5,0,0,1,0,0,1,0,NA,500,500,0,19,0,NA,1,0.5217391304347826
821,Pre-Covid,50,1,0,1,0,0,1,0,NA,520,520,0,20,0,1,1,0.782608695652174
1060,Pre-Covid,25,0,0,1,0,0,1,0,4,550,630,1,19,0,NA,1,0.30434782608695654
521,Pre-Covid,35,0,1,0,0,0,1,0,3.609999895095825,NA,NA,1,21,0,NA,1,0.17391304347826092
535,Pre-Covid,60,1,1,0,0,0,1,0,3.2300000190734863,520,620,0,19,0,NA,1,0.782608695652174
1045,Pre-Covid,55.00000000000001,1,1,0,0,0,1,0,3.5,640,530,0,19,0,NA,1,0.782608695652174
1361,Pre-Covid,45,0,1,0,0,0,1,0,NA,550,570,0,19,0,0,1,0.30434782608695654
1364,Pre-Covid,55.00000000000001,1,1,0,0,0,1,0,NA,520,630,0,19,0,1,1,0.7391304347826086
1620,Pre-Covid,45,1,1,0,0,0,1,0,4,590,640,1,19,0,0,1,0.6521739130434783
1686,Pre-Covid,57.49999999999999,1,1,0,0,0,1,0,NA,610,640,0,20,0,1,1,0.8695652173913043
502,Pre-Covid,37.5,1,1,0,0,0,1,0,3,610,530,1,19,0,NA,1,0.391304347826087
504,Pre-Covid,47.5,1,1,0,0,0,1,0,3,510,600,1,19,0,NA,1,0.782608695652174
1010,Pre-Covid,60,0,1,0,0,0,1,0,2.6500000953674316,530,600,1,19,0,NA,1,0.6086956521739131
1312,Pre-Covid,47.5,0,1,0,0,0,1,0,NA,610,530,1,19,0,1,1,0.34782608695652173
1435,Pre-Covid,60,1,1,0,0,0,1,0,NA,550,600,0,19,0,1,1,0.8260869565217391
1465,Pre-Covid,50,1,1,0,0,0,1,0,NA,590,570,0,19,0,1,1,0.6086956521739131
1605,Pre-Covid,62.5,1,1,0,0,0,1,0,NA,590,630,1,19,0,1,1,0.8695652173913043
2876,Pre-Covid,52.5,0,1,0,0,0,1,0,NA,NA,NA,0,34,0,NA,1,0.391304347826087
51,Pre-Covid,67.5,0,1,0,0,0,1,0,3.859999895095825,470,610,0,29,1,NA,1,0.5217391304347826
197,Pre-Covid,70,1,1,0,0,0,1,0,3.9800000190734863,NA,NA,1,26,1,0,0,0.9130434782608695
209,Pre-Covid,42.5,0,1,0,0,0,1,0,0,400,400,1,28,0,NA,1,0.1739130434782609
