ID,correct,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,typegpa,year,online,lowgpa,difficulty,gpamiss,q1,q2,q3,q4,age,time
1686,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1729,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
334,1,0,0,0,0,0,1,0,3.0399999618530273,0,1,Garcia,F,low,2019,0,1,h,0,1,0,0,0,19,1
359,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,21,1
568,0,0,0,0,0,0,1,0,3.069999933242798,0,1,Garcia,F,low,2019,0,1,h,0,1,0,0,0,20,1
594,1,0,1,0,0,0,1,0,2.299999952316284,0,1,Garcia,F,low,2019,0,1,h,0,1,0,0,0,20,1
669,1,0,0,0,0,0,1,0,3.700000047683716,0,1,Garcia,F,high,2019,0,0,h,0,0,0,0,1,19,1
902,0,0,0,0,0,0,1,0,3.1500000953674316,0,1,Garcia,F,low,2019,0,1,h,0,0,1,0,0,19,1
1073,1,0,0,0,0,0,1,0,3.440000057220459,0,1,Garcia,F,high,2019,0,0,h,0,0,0,1,0,19,1
1187,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1378,1,0,1,0,0,0,1,0,4,0,1,Garcia,F,high,2019,0,0,h,0,0,0,0,1,19,1
1413,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1459,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1493,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1531,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1561,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1675,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1842,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1853,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1949,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,20,1
333,0,0,0,0,0,0,1,0,1.559999942779541,0,0,Henry,F,low,2019,0,1,h,0,1,0,0,0,22,1
561,1,0,1,0,0,0,1,0,3.859999895095825,0,1,Henry,F,high,2019,0,0,h,0,0,0,0,1,25,1
595,0,0,1,0,0,0,1,0,3.6700000762939453,0,0,Henry,F,high,2019,0,0,h,0,0,0,1,0,24,1
624,1,0,0,0,0,0,1,0,3.7100000381469727,0,0,Henry,F,high,2019,0,0,h,0,0,0,0,1,23,1
910,1,0,0,0,0,0,1,0,3.3153605730711377,1,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,30,1
943,0,0,1,0,0,0,1,0,3.450000047683716,0,1,Henry,F,high,2019,0,0,h,0,0,0,1,0,21,1
956,1,0,1,0,0,0,1,0,3.9600000381469727,0,0,Henry,F,high,2019,0,0,h,0,0,0,0,1,24,1
1094,0,0,1,0,0,0,1,0,3.5999999046325684,0,1,Henry,F,high,2019,0,0,h,0,0,0,1,0,19,1
1131,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,28,1
1167,1,0,0,0,0,0,1,0,3.859999895095825,0,1,Henry,F,high,2019,0,0,h,0,0,0,0,1,27,1
1672,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,19,1
1783,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,19,1
1834,1,0,0,0,0,0,1,0,3.490000009536743,0,1,Henry,F,high,2019,0,0,h,0,0,0,1,0,22,1
1890,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,20,1
639,0,0,1,0,0,0,1,0,3.5,0,1,Joyce,F,high,2019,0,0,h,0,0,0,1,0,19,1
1511,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
1528,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
1576,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
1648,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
2460,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
2490,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
2495,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
2582,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
2923,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
3023,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
29,0,0,1,0,0,0,1,0,3.059999942779541,0,0,Sun,F,low,2019,0,1,h,0,1,0,0,0,37,1
123,0,0,0,0,0,0,1,0,1.6200000047683716,1,0,Sun,F,low,2019,0,1,h,0,1,0,0,0,23,1
175,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,24,1
293,1,0,1,0,0,0,1,0,3.180000066757202,0,0,Sun,F,low,2019,0,1,h,0,0,1,0,0,22,1
484,1,0,1,0,0,0,1,0,3.0799999237060547,0,1,Sun,F,low,2019,0,1,h,0,1,0,0,0,21,1
675,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
707,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
779,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,25,1
939,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1013,1,0,0,0,0,0,1,0,3.3153605730711377,1,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,24,1
1386,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1538,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1666,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1693,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,21,1
1794,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,20,1
980,1,0,0,0,0,1,0,0,3,0,1,Acosta,F,low,2019,0,1,h,0,1,0,0,0,19,1
