ID,score,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,year,online,lowgpa,gpamiss,q1,q2,q3,q4,age,time
688,77.5,0,0,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,19.611225128173828,1
689,82.5,0,0,0,0,1,0,0,3.619999885559082,0,1,Henry,S,2019,0,0,0,0,0,1,0,20.358657836914062,1
690,87.5,0,1,1,0,0,0,0,3.940000057220459,0,1,Henry,S,2019,0,0,0,0,0,0,1,19.863107681274414,1
692,62.5,0,0,0,0,0,1,0,2.619999885559082,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.197124481201172,1
697,70,0,0,1,0,0,0,0,3.75,0,1,Placido,S,2019,1,0,0,0,0,0,1,20.358657836914062,1
699,77.5,0,0,0,0,0,1,0,3.2100000381469727,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.03011703491211,1
702,62.5,0,0,1,0,0,0,0,2.940000057220459,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.61054039001465,1
703,65,0,0,1,0,0,0,0,3.059999942779541,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.273784637451172,1
704,82.5,0,0,1,0,0,0,0,3.930000066757202,0,1,Placido,S,2019,1,0,0,0,0,0,1,19.863107681274414,1
705,77.5,0,0,0,1,0,0,0,3.8299999237060547,0,1,Placido,S,2019,1,0,0,0,0,0,1,19.444215774536133,1
708,65,0,0,0,0,0,1,0,2.569999933242798,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.196441650390625,1
709,77.5,0,1,1,0,0,0,0,3.0999999046325684,0,1,Placido,S,2019,1,1,0,0,1,0,0,19.444215774536133,1
711,80,0,0,0,0,0,1,0,3.9600000381469727,0,1,Placido,S,2019,1,0,0,0,0,0,1,19.444215774536133,1
712,60,0,0,1,0,0,0,0,3.5999999046325684,0,1,Green,S,2019,0,0,0,0,0,1,0,20.525667190551758,1
713,82.5,0,1,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,19.863107681274414,1
715,80,0,1,1,0,0,0,0,4,0,1,Placido,S,2019,1,0,0,0,0,0,1,20.11225128173828,1
717,62.5,0,1,1,0,0,0,0,3.1600000858306885,0,1,Placido,S,2019,1,1,0,0,1,0,0,19.526351928710938,1
718,72.5,0,0,1,0,0,0,0,3.75,0,1,Green,S,2019,0,0,0,0,0,0,1,19.778234481811523,1
719,72.5,0,0,1,0,0,0,0,3.75,0,1,Placido,S,2019,1,0,0,0,0,0,1,20.443531036376953,1
720,40,0,0,0,0,0,1,0,2.630000114440918,1,1,Placido,S,2019,1,1,0,1,0,0,0,20.11225128173828,1
722,90,0,1,0,0,0,1,0,3.619999885559082,0,1,Placido,S,2019,1,0,0,0,0,1,0,21.524982452392578,1
725,72.5,0,0,0,1,0,0,0,2.5899999141693115,0,1,Green,S,2019,0,1,0,1,0,0,0,20.358657836914062,1
732,45,0,0,0,1,0,0,0,2.430000066757202,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.359342575073242,1
736,42.5,0,1,0,0,0,0,1,3.25,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.61054039001465,1
747,57.49999999999999,0,1,0,0,0,1,0,3.569999933242798,0,1,Green,S,2019,0,0,0,0,0,1,0,18.861053466796875,1
749,52.5,0,0,0,0,0,0,1,3.049999952316284,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.11225128173828,1
750,85,0,0,0,1,0,0,0,3.2799999713897705,0,1,Placido,S,2019,1,1,0,0,1,0,0,18.861053466796875,1
753,47.5,0,0,0,0,0,1,0,3.490000009536743,0,1,Placido,S,2019,1,0,0,0,0,1,0,20.692676544189453,1
755,57.49999999999999,0,0,0,0,0,1,0,2.200000047683716,0,1,Henry,S,2019,0,1,0,1,0,0,0,20.03011703491211,1
757,80,0,1,0,0,0,1,0,2.740000009536743,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.94524383544922,1
758,47.5,0,1,0,0,0,1,0,2.009999990463257,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.611225128173828,1
761,42.5,0,1,0,0,0,1,0,2.759999990463257,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.11225128173828,1
763,67.5,0,0,1,0,0,0,0,1.8600000143051147,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.197124481201172,1
765,47.5,0,0,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,20.358657836914062,1
768,50,0,1,1,0,0,0,0,2.740000009536743,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.526351928710938,1
769,42.5,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,22.357290267944336,1
770,55.00000000000001,0,1,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,19.526351928710938,1
773,40,0,0,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,19.863107681274414,1
774,37.5,0,1,0,0,1,0,0,3.3499999046325684,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.197124481201172,1
777,62.5,0,0,1,0,0,0,0,2,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.526351928710938,1
